,地区,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人),year
88,青海省,2748,268.1,1093.7,1386.2,272,777.5,316.2,150.9,123.2,47.5,259.5,118.9,682.3,45738,2018
89,宁夏回族自治区,3510.2,279.4,1488.1,1742.7,296.1,1191,298.5,190.2,170.1,49.4,285.9,145.7,883.4,51248,2018
90,北京市,35445.1,114.4,5667.4,29663.4,116.9,4243.3,1477.4,2867.5,1010.8,538.1,6544.2,2603.8,16043.1,164563,2019
91,天津市,14055.5,185.4,4947.2,8922.9,191.8,4372.3,693.8,1357.3,787.7,169.1,1907.9,1238.5,3337.2,90058,2019
92,河北省,34978.6,3518.4,13393.7,18066.5,3727.5,11310.4,2118.9,2922.5,2886,389,2411.1,2356.2,6856.8,46182,2019
93,山西省,16961.6,825.3,7466.3,8670,875.5,6582.7,894.8,1361.6,1028.2,207.1,1130.6,1066.7,3814.5,45549,2019
94,内蒙古自治区,17212.5,1863.3,6763.1,8586.1,1893.5,5458.6,1304.5,1448.3,1202.7,361.5,874.9,892.2,3776.3,67852,2019
95,辽宁省,24855.3,2178,9475.9,13201.4,2266.9,8052.2,1480.1,2147.9,1311.2,316.9,1988.1,1491.9,5800.1,57067,2019
96,吉林省,11726.8,1287.3,4134.8,6304.7,1333.4,3347.8,808.6,759.1,574.4,192.6,837.9,778.8,3094.1,43475,2019
97,黑龙江省,13544.4,3183.2,3640.1,6721.1,3268.2,3334,417.4,1001.3,503.6,232,977.2,714.2,3096.5,36001,2019
98,上海市,37987.6,107.1,10193.6,27686.9,113.3,9565.1,716.2,5023.2,1650.4,458.9,6535.2,3300.7,10624.5,156587,2019
99,江苏省,98656.8,4297.2,43507.5,50852.1,4611.9,37225.7,6330.7,10836.6,3170,1531.4,7435.7,7925.9,19589,122398,2019
100,浙江省,62462,2086.7,26299.5,34075.8,2135.9,22520.9,3832.1,7360.2,1980.1,1085.5,4904,4618,14025.3,107814,2019
101,安徽省,36845.5,2916,14970,18959.5,3069.2,11181.7,3811.6,3404,1951.5,741.9,2340.6,2888.4,7456.7,58072,2019
